No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,ABEO,17.76%,19.82%,-56.51%,-78.09%,-88.11%,-16.77%,13.63%,10.52%,2.30,3.67M,1.21,0.27,-2.99%,"1,362,856"
2,ABSI,10.61%,48.24%,-15.79%,-49.04%,-,13.17%,11.83%,8.47%,2.70,1.38M,0.23,9.33,0.54%,"98,422"
3,ABUS,-3.73%,22.53%,-1.27%,-8.28%,-19.06%,-20.31%,10.73%,8.29%,2.00,5.51M,0.50,3.10,-0.16%,"841,791"
4,ACB,-5.91%,-6.39%,-43.17%,-48.74%,-66.82%,-32.35%,7.76%,7.93%,3.50,5.63M,0.89,3.61,-1.37%,"1,542,018"
5,ACCD,-1.23%,-3.76%,-36.46%,-64.23%,-63.72%,-35.93%,9.28%,7.74%,1.40,1.02M,0.40,16.21,-4.03%,"125,905"
6,ACET,-2.13%,6.16%,30.36%,55.12%,-21.21%,-29.05%,9.12%,8.25%,1.40,1.27M,0.06,12.44,0.24%,"22,993"
7,ACHR,7.14%,11.31%,-48.11%,-68.50%,-74.51%,-47.85%,8.49%,7.90%,2.30,2.21M,0.39,3.10,-1.59%,"267,584"
8,ACRX,16.56%,1.00%,-30.14%,-61.57%,-77.26%,-22.47%,15.49%,11.06%,2.00,1.10M,0.44,0.44,1.89%,"147,727"
9,ACST,2.73%,0.89%,-15.67%,-64.78%,-79.84%,-10.32%,6.99%,6.49%,1.00,1.58M,0.09,1.13,0.00%,"42,631"
10,ADGI,1.40%,-3.83%,-86.08%,-79.84%,-,-10.19%,9.92%,14.28%,3.20,8.61M,0.22,6.20,-4.91%,"579,916"
11,ADMA,6.49%,18.84%,13.10%,23.31%,-30.80%,16.31%,5.47%,5.74%,1.70,1.98M,0.95,1.66,1.22%,"576,873"
12,ADMP,13.53%,14.67%,-13.73%,-35.90%,-39.37%,11.24%,9.25%,6.92%,3.00,1.91M,0.92,0.67,-0.45%,"543,747"
13,ADTX,2.46%,-6.82%,-67.22%,-79.32%,-87.99%,-27.85%,12.75%,10.21%,2.00,1.66M,0.52,0.40,2.69%,"266,371"
14,ADVM,-1.87%,-15.16%,-29.68%,-44.98%,-89.18%,-25.28%,6.38%,4.97%,2.80,1.16M,0.37,1.30,-1.04%,"133,688"
15,ADXS,-4.27%,-27.55%,-73.39%,-76.20%,-87.17%,-31.56%,21.37%,12.83%,2.00,2.26M,0.15,0.10,-4.04%,"104,364"
16,AEHR,9.40%,15.55%,-28.18%,90.30%,350.34%,-45.62%,9.68%,9.23%,-,1.21M,0.59,13.38,1.75%,"219,954"
17,AEI,12.14%,-2.04%,-77.67%,-83.86%,-97.61%,-41.58%,14.66%,10.55%,2.50,2.91M,0.92,0.33,-0.21%,"826,773"
18,AERC,-0.23%,-1.83%,-96.35%,-,-,-59.12%,10.20%,10.93%,-,1.82M,0.03,4.40,2.80%,"15,433"
19,AERI,45.70%,22.54%,-11.39%,-41.60%,-57.17%,20.80%,10.31%,7.17%,2.00,1.24M,0.56,8.51,0.35%,"212,614"
20,AEVA,-4.75%,-11.74%,-57.77%,-56.60%,-72.75%,-44.31%,9.37%,6.97%,1.80,1.68M,0.79,4.05,-3.92%,"412,575"
